場所,芝・ダ,距離,馬場状態,レース数,勝ち時計平均秒,勝ち上り3F平均,RPCI平均,平均1Fタイム,平均速度,Ave_3F平均,勝ち馬4角率平均,勝ち馬PCI平均,三着内上り3F平均,三着内4角率平均,三着内先行率_4角35以内,三着内差し追込率_4角60超,標準ペース判定,好走ゾーン,勝ち時計平均
中京,ダ,1800,良,194,113.10153846153845,37.5374358974359,49.11897435897436,12.56671794871795,57.30148717948718,37.782051282051285,0.29626476799553725,50.717948717948715,37.71629502572898,0.344165202055425,58.662092624356774,15.951972555746142,やや速い,前残り・先行優勢,1:53.1
中京,ダ,1800,重,27,111.20370370370371,36.718518518518515,49.837037037037035,12.357407407407406,58.28074074074074,37.242592592592594,0.28057729307729307,51.44444444444444,36.94197530864198,0.2960242432464655,70.37037037037037,12.345679012345679,やや速い,前残り・先行優勢,1:51.2
中京,ダ,1900,不,8,118.0125,36.6375,51.7375,12.4225,57.96125,37.55875,0.25853365384615384,52.537499999999994,36.858333333333334,0.3061298076923077,66.66666666666666,12.5,標準〜やや上がり,前残り・先行優勢,1:58.0
中京,ダ,1900,稍,21,119.78095238095239,37.83809523809524,47.90952380952381,12.607619047619048,57.10857142857143,37.820952380952384,0.33676693676693675,49.96190476190476,38.13809523809523,0.33405659596135784,55.55555555555556,15.873015873015872,やや速い,前残り・先行優勢,1:59.8
中京,ダ,1900,良,78,119.91666666666667,37.77564102564103,48.65897435897436,12.623205128205129,57.046410256410255,37.91128205128205,0.3067899159245313,50.42692307692308,37.899145299145296,0.36628356211689544,54.27350427350427,19.65811965811966,やや速い,中間/混合,1:59.9
中京,ダ,1900,重,8,116.925,36.7125,49.1375,12.30875,58.50625,37.02,0.2935267857142857,50.875,37.11666666666667,0.2552083333333333,75.0,8.333333333333332,やや速い,前残り・先行優勢,1:56.9
中京,芝,1200,不,6,71.18333333333334,35.75,46.51666666666667,11.865,60.69833333333333,35.43333333333333,0.3710826210826211,49.199999999999996,35.80555555555556,0.4349952516619183,38.88888888888889,44.44444444444444,やや速い,差し届く,1:11.2
中京,芝,1200,稍,13,68.99230769230769,34.38461538461539,47.52307692307692,11.5,62.62,34.60769230769231,0.3651018099547511,50.676923076923075,34.40256410256411,0.4305262275850511,48.717948717948715,28.205128205128204,やや速い,中間/混合,1:09.0
中京,芝,1200,良,112,68.28571428571429,33.90625,48.604464285714286,11.38125,63.27089285714286,34.379464285714285,0.2897636771783305,51.43928571428571,33.94302670623145,0.3549905327309761,55.78635014836796,17.210682492581604,やや速い,前残り・先行優勢,1:08.3
中京,芝,1200,重,10,69.25,34.510000000000005,47.980000000000004,11.541,62.391,34.739999999999995,0.29534090909090904,50.71,34.483333333333334,0.3761826599326599,43.333333333333336,16.666666666666664,やや速い,中間/混合,1:09.2
中京,芝,1400,不,2,83.5,36.95,43.099999999999994,11.93,60.36,34.915,0.16666666666666666,44.5,36.68333333333333,0.39999999999999997,50.0,33.33333333333333,ハイ/持続,中間/混合,1:23.5
中京,芝,1400,稍,25,81.41199999999999,34.668,47.972,11.6304,61.9112,35.0604,0.38860745137215724,51.18,34.73947368421052,0.4282237585256161,43.42105263157895,23.684210526315788,やや速い,中間/混合,1:21.4
中京,芝,1400,良,140,80.82785714285714,34.44714285714286,48.37571428571429,11.546928571428571,62.36257142857143,34.78764285714286,0.3546495130686307,51.015,34.48952380952381,0.4073038768732046,47.85714285714286,24.761904761904763,やや速い,中間/混合,1:20.8
中京,芝,1400,重,8,82.15,35.6875,45.4875,11.735,61.35625,34.85,0.24199099511599512,47.6875,35.6875,0.4325644841269842,54.166666666666664,37.5,ハイ/持続,差し届く,1:22.2
中京,芝,1600,不,3,98.56666666666666,37.733333333333334,45.03333333333333,12.323333333333332,58.446666666666665,36.5,0.40374440374440373,47.06666666666666,37.766666666666666,0.4359652692986027,44.44444444444444,22.22222222222222,ハイ/持続,中間/混合,1:38.6
中京,芝,1600,稍,22,94.76818181818182,34.63181818181818,50.940909090909095,11.848181818181816,60.78409090909091,36.08181818181818,0.44853568149022693,54.22727272727273,34.80757575757576,0.4209177817132363,43.93939393939394,25.757575757575758,標準〜やや上がり,中間/混合,1:34.8
